id,subtaskID,answer
120835,3,8.88
120835,4,0
120836,3,8.61
120836,4,0
120837,3,8.61
120837,4,0
120838,3,9.01
120838,4,0
120839,3,9.1
120839,4,0
120840,3,9.06
120840,4,0
120841,3,9.24
120841,4,0
120842,3,9.23
120842,4,0
120843,3,9.03
120843,4,0
120844,3,6.81
120844,4,0
120845,3,9.28
120845,4,0
120846,3,8.74
120846,4,0
120847,3,9.1
120847,4,0
120848,3,9.15
120848,4,0
120849,3,8.56
120849,4,0
120850,3,8.51
120850,4,0
120851,3,8.84
120851,4,0
120852,3,9.1
120852,4,0
120853,3,8.78
120853,4,0
120854,3,7.76
120854,4,0
120855,3,9.38
120855,4,0
120856,3,8.83
120856,4,0
120857,3,9.3
120857,4,0
120858,3,8.72
120858,4,0
120859,3,8.59
120859,4,1
120860,3,8.8
120860,4,0
120861,3,9.21
120861,4,0
120862,3,9.35
120862,4,0
120863,3,8.41
120863,4,0
120864,3,9.01
120864,4,0
120865,3,8.97
120865,4,0
120866,3,9.01
120866,4,0
120867,3,8.81
120867,4,0
120868,3,8.81
120868,4,0
120869,3,9.26
120869,4,0
120870,3,8.77
120870,4,0
120871,3,8.99
120871,4,0
120872,3,9.18
120872,4,0
120873,3,8.83
120873,4,0
120874,3,8.96
120874,4,0
120875,3,8.78
120875,4,0
120876,3,8.76
120876,4,0
120877,3,9.16
120877,4,0
120878,3,8.41
120878,4,0
120879,3,8.95
120879,4,0
120880,3,7.01
120880,4,0
120881,3,8.94
120881,4,0
120882,3,8.66
120882,4,0
120883,3,8.51
120883,4,0
120884,3,8.97
120884,4,0
120885,3,8.99
120885,4,0
120886,3,8.71
120886,4,0
120887,3,8.93
120887,4,0
120888,3,9.38
120888,4,0
120889,3,7.18
120889,4,0
120890,3,9.15
120890,4,0
120891,3,8.94
120891,4,0
120892,3,8.96
120892,4,0
120893,3,8.16
120893,4,0
120894,3,6.43
120894,4,1
120895,3,8.71
120895,4,0
120896,3,8.75
120896,4,0
120897,3,8.82
120897,4,0
120898,3,8.55
120898,4,0
120899,3,9.2
120899,4,0
120900,3,7.53
120900,4,1
120901,3,8.5
120901,4,0
120902,3,8.59
120902,4,0
120903,3,8.91
120903,4,0
120904,3,8.71
120904,4,0
120905,3,8.58
120905,4,0
120906,3,8.45
120906,4,0
120907,3,8.57
120907,4,0
120908,3,8.99
120908,4,0
120909,3,7.68
120909,4,0
120910,3,8.85
120910,4,0
120911,3,8.62
120911,4,0
120912,3,8.76
120912,4,0
120913,3,8.93
120913,4,0
120914,3,8.99
120914,4,0
120915,3,8.92
120915,4,0
120916,3,8.28
120916,4,0
120917,3,8.84
120917,4,0
120918,3,8.58
120918,4,0
120919,3,9.17
120919,4,0
120920,3,9.05
120920,4,0
120921,3,9.09
120921,4,0
120922,3,8.77
120922,4,0
120923,3,8.83
120923,4,0
120924,3,9.14
120924,4,0
120925,3,8.29
120925,4,0
120926,3,9.24
120926,4,0
120927,3,5.74
120927,4,1
120928,3,8.79
120928,4,0
120929,3,9.01
120929,4,0
120930,3,9.06
120930,4,0
120931,3,9.04
120931,4,0
120932,3,6.79
120932,4,0
120933,3,6.75
120933,4,1
120934,3,9.11
120934,4,0
120935,3,8.91
120935,4,0
120936,3,8.88
120936,4,0
120937,3,8.84
120937,4,0
120938,3,8.85
120938,4,0
120939,3,8.93
120939,4,1
120940,3,8.29
120940,4,0
120941,3,9.12
120941,4,0
120942,3,8.45
120942,4,0
120943,3,8.92
120943,4,0
120944,3,8.27
120944,4,0
120945,3,8.89
120945,4,0
120946,3,8.33
120946,4,0
120947,3,9.14
120947,4,0
120948,3,8.66
120948,4,0
120949,3,8.88
120949,4,0
120950,3,8.45
120950,4,0
120951,3,8.56
120951,4,0
120952,3,7.93
120952,4,0
120953,3,8.15
120953,4,0
120954,3,7.96
120954,4,0
120955,3,8.01
120955,4,0
120956,3,7.43
120956,4,0
120957,3,8.66
120957,4,0
120958,3,9.16
120958,4,0
120959,3,9.2
120959,4,0
120960,3,8.11
120960,4,0
120961,3,8.94
120961,4,0
120962,3,8.7
120962,4,0
120963,3,8.29
120963,4,0
120964,3,7.58
120964,4,1
120965,3,8.76
120965,4,0
120966,3,8.42
120966,4,0
120967,3,8.42
120967,4,0
120968,3,8.64
120968,4,0
120969,3,8.57
120969,4,0
120970,3,8.26
120970,4,0
120971,3,8.26
120971,4,0
120972,3,8.91
120972,4,0
120973,3,8.23
120973,4,0
120974,3,8.64
120974,4,0
120975,3,7.35
120975,4,0
120976,3,8.57
120976,4,0
120977,3,8.42
120977,4,0
120978,3,8.02
120978,4,0
120979,3,6.74
120979,4,0
120980,3,8.05
120980,4,0
120981,3,8.02
120981,4,0
120982,3,8.77
120982,4,0
120983,3,7.64
120983,4,0
120984,3,8.66
120984,4,0
120985,3,8.13
120985,4,0
120986,3,8.43
120986,4,0
120987,3,8.25
120987,4,0
120988,3,8.4
120988,4,0
120989,3,8.04
120989,4,0
120990,3,8.55
120990,4,0
120991,3,8.6
120991,4,0
120992,3,8.19
120992,4,0
120993,3,8.22
120993,4,0
120994,3,9.41
120994,4,1
120995,3,8.77
120995,4,0
120996,3,8.61
120996,4,0
120997,3,8.04
120997,4,0
120998,3,8.72
120998,4,0
120999,3,8.61
120999,4,0
121000,3,8.18
121000,4,0
121001,3,8.16
121001,4,0
121002,3,8.2
121002,4,0
121003,3,8.96
121003,4,0
121004,3,8.57
121004,4,0
121005,3,8.75
121005,4,0
121006,3,8.42
121006,4,0
121007,3,8.65
121007,4,0
121008,3,6.79
121008,4,0
121009,3,9.04
121009,4,0
121010,3,8.41
121010,4,0
121011,3,8.95
121011,4,0
121012,3,8.47
121012,4,0
121013,3,8.56
121013,4,0
121014,3,8.51
121014,4,0
121015,3,8.48
121015,4,0
121016,3,7.91
121016,4,0
121017,3,8.63
121017,4,0
121018,3,8.52
121018,4,0
121019,3,8.27
121019,4,0
121020,3,8.74
121020,4,0
121021,3,8.62
121021,4,0
121022,3,8.65
121022,4,0
121023,3,8.05
121023,4,0
121024,3,8.59
121024,4,0
121025,3,6.66
121025,4,1
121026,3,8.68
121026,4,0
121027,3,7.36
121027,4,0
121028,3,8.24
121028,4,0
121029,3,7.96
121029,4,0
121030,3,8.34
121030,4,0
121031,3,8.57
121031,4,0
121032,3,8.05
121032,4,0
121033,3,8.04
121033,4,0
121034,3,6.82
121034,4,0
121035,3,8.46
121035,4,0
121036,3,8.23
121036,4,0
121037,3,7.77
121037,4,0
121038,3,7.85
121038,4,0
121039,3,7.87
121039,4,0
121040,3,8.2
121040,4,0
121041,3,8.45
121041,4,0
121042,3,8.87
121042,4,0
121043,3,8.72
121043,4,0
121044,3,7.4
121044,4,0
121045,3,8.16
121045,4,0
121046,3,8.33
121046,4,0
121047,3,8.27
121047,4,0
121048,3,9.04
121048,4,0
121049,3,8.0
121049,4,0
121050,3,8.35
121050,4,0
121051,3,7.78
121051,4,0
121052,3,8.6
121052,4,0
121053,3,8.61
121053,4,0
121054,3,8.36
121054,4,0
121055,3,8.69
121055,4,0
121056,3,8.48
121056,4,0
121057,3,7.96
121057,4,0
121058,3,8.37
121058,4,0
121059,3,7.71
121059,4,0
121060,3,8.72
121060,4,0
121061,3,8.46
121061,4,0
121062,3,8.7
121062,4,0
121063,3,7.68
121063,4,0
121064,3,8.38
121064,4,0
121065,3,8.43
121065,4,0
121066,3,8.5
121066,4,0
121067,3,9.59
121067,4,1
121068,3,8.71
121068,4,0
121069,3,8.5
121069,4,0
121070,3,8.54
121070,4,0
121071,3,8.51
121071,4,0
121072,3,8.54
121072,4,0
121073,3,8.59
121073,4,0
121074,3,8.53
121074,4,0
121075,3,8.93
121075,4,0
121076,3,8.53
121076,4,0
121077,3,8.78
121077,4,0
121078,3,7.89
121078,4,0
121079,3,7.41
121079,4,0
121080,3,7.47
121080,4,0
121081,3,7.75
121081,4,0
121082,3,7.96
121082,4,0
121083,3,8.33
121083,4,0
121084,3,8.01
121084,4,0
121085,3,8.17
121085,4,0
121086,3,8.15
121086,4,0
121087,3,8.14
121087,4,0
121088,3,7.45
121088,4,0
121089,3,8.45
121089,4,0
121090,3,9.13
121090,4,1
121091,3,5.05
121091,4,0
121092,3,6.91
121092,4,0
121093,3,8.46
121093,4,0
121094,3,8.42
121094,4,0
121095,3,8.45
121095,4,0
121096,3,8.53
121096,4,0
121097,3,8.15
121097,4,0
121098,3,8.17
121098,4,0
121099,3,7.79
121099,4,0
121100,3,8.59
121100,4,0
121101,3,8.34
121101,4,0
121102,3,8.03
121102,4,0
121103,3,7.83
121103,4,0
121104,3,7.92
121104,4,0
121105,3,7.7
121105,4,0
121106,3,8.23
121106,4,0
121107,3,7.3
121107,4,0
121108,3,8.23
121108,4,0
121109,3,8.26
121109,4,0
121110,3,7.64
121110,4,0
121111,3,7.78
121111,4,0
121112,3,6.01
121112,4,0
121113,3,7.51
121113,4,0
121114,3,5.53
121114,4,0
121115,3,8.19
121115,4,0
121116,3,8.21
121116,4,0
121117,3,7.67
121117,4,0
121118,3,7.4
121118,4,0
121119,3,8.06
121119,4,0
121120,3,7.71
121120,4,0
121121,3,7.2
121121,4,0
121122,3,6.77
121122,4,0
121123,3,8.09
121123,4,0
121124,3,6.94
121124,4,0
121125,3,7.4
121125,4,0
121126,3,8.19
121126,4,0
121127,3,8.09
121127,4,0
121128,3,7.28
121128,4,0
121129,3,7.86
121129,4,0
121130,3,8.83
121130,4,0
121131,3,7.84
121131,4,0
121132,3,7.41
121132,4,0
121133,3,8.42
121133,4,0
121134,3,8.23
121134,4,0
121135,3,8.29
121135,4,0
121136,3,7.96
121136,4,0
121137,3,8.25
121137,4,0
121138,3,7.77
121138,4,0
121139,3,7.6
121139,4,0
121140,3,7.78
121140,4,0
121141,3,8.4
121141,4,0
121142,3,7.97
121142,4,0
121143,3,7.9
121143,4,0
121144,3,7.28
121144,4,0
121145,3,8.42
121145,4,0
121146,3,7.31
121146,4,0
121147,3,8.11
121147,4,0
121148,3,5.29
121148,4,1
121149,3,5.55
121149,4,1
121150,3,7.86
121150,4,0
121151,3,7.45
121151,4,0
121152,3,7.75
121152,4,0
121153,3,7.9
121153,4,0
121154,3,7.91
121154,4,0
121155,3,8.0
121155,4,0
121156,3,7.81
121156,4,0
121157,3,7.53
121157,4,0
121158,3,7.38
121158,4,0
121159,3,7.15
121159,4,0
121160,3,7.95
121160,4,0
121161,3,7.83
121161,4,0
121162,3,5.53
121162,4,0
121163,3,7.44
121163,4,0
121164,3,8.39
121164,4,0
121165,3,7.71
121165,4,0
121166,3,7.65
121166,4,0
121167,3,7.73
121167,4,0
121168,3,7.2
121168,4,0
121169,3,7.72
121169,4,0
121170,3,8.18
121170,4,0
121171,3,8.42
121171,4,0
121172,3,7.44
121172,4,0
121173,3,7.44
121173,4,0
121174,3,6.84
121174,4,0
121175,3,7.33
121175,4,0
121176,3,8.8
121176,4,0
121177,3,7.71
121177,4,0
121178,3,6.83
121178,4,0
121179,3,7.15
121179,4,0
121180,3,8.87
121180,4,0
121181,3,7.5
121181,4,0
121182,3,6.82
121182,4,0
121183,3,8.09
121183,4,0
121184,3,8.22
121184,4,0
121185,3,7.59
121185,4,0
121186,3,7.39
121186,4,0
121187,3,6.72
121187,4,1
121188,3,7.45
121188,4,0
121189,3,7.34
121189,4,0
121190,3,6.98
121190,4,0
121191,3,8.54
121191,4,0
121192,3,7.57
121192,4,0
121193,3,7.67
121193,4,0
121194,3,6.96
121194,4,0
121195,3,7.41
121195,4,0
121196,3,7.44
121196,4,0
121197,3,8.17
121197,4,0
121198,3,7.82
121198,4,0
121199,3,7.58
121199,4,0
121200,3,8.57
121200,4,0
121201,3,8.25
121201,4,0
121202,3,7.87
121202,4,0
121203,3,7.05
121203,4,0
121204,3,7.71
121204,4,0
121205,3,7.32
121205,4,0
121206,3,7.53
121206,4,0
121207,3,7.25
121207,4,0
121208,3,6.34
121208,4,1
121209,3,7.03
121209,4,0
121210,3,7.88
121210,4,0
121211,3,6.56
121211,4,0
121212,3,7.57
121212,4,0
121213,3,7.45
121213,4,0
121214,3,7.76
121214,4,0
121215,3,7.13
121215,4,0
121216,3,7.8
121216,4,0
121217,3,6.94
121217,4,0
121218,3,6.69
121218,4,1
121219,3,8.14
121219,4,0
121220,3,7.39
121220,4,0
121221,3,7.35
121221,4,0
121222,3,6.94
121222,4,0
121223,3,7.72
121223,4,0
121224,3,7.33
121224,4,0
121225,3,6.63
121225,4,0
121226,3,7.67
121226,4,0
121227,3,8.11
121227,4,0
121228,3,6.62
121228,4,0
121229,3,7.3
121229,4,0
121230,3,5.53
121230,4,0
121231,3,6.08
121231,4,0
121232,3,7.54
121232,4,0
121233,3,7.27
121233,4,0
121234,3,5.89
121234,4,1
121235,3,7.41
121235,4,0
121236,3,7.03
121236,4,1
121237,3,7.57
121237,4,0
121238,3,6.85
121238,4,0
121239,3,7.73
121239,4,0
121240,3,6.64
121240,4,0
121241,3,7.4
121241,4,0
121242,3,7.65
121242,4,0
121243,3,7.45
121243,4,0
121244,3,7.56
121244,4,0
121245,3,7.51
121245,4,0
121246,3,7.6
121246,4,0
121247,3,7.02
121247,4,0
121248,3,7.09
121248,4,0
121249,3,6.87
121249,4,0
121250,3,7.72
121250,4,0
121251,3,6.72
121251,4,0
121252,3,6.76
121252,4,0
121253,3,7.01
121253,4,0
121254,3,7.35
121254,4,0
121255,3,6.86
121255,4,0
121256,3,6.38
121256,4,0
121257,3,8.13
121257,4,0
121258,3,7.63
121258,4,0
121259,3,6.97
121259,4,0
121260,3,7.23
121260,4,0
121261,3,7.07
121261,4,0
121262,3,7.22
121262,4,0
121263,3,6.12
121263,4,0
121264,3,6.81
121264,4,0
121265,3,7.08
121265,4,0
121266,3,7.21
121266,4,0
121267,3,6.81
121267,4,0
121268,3,6.03
121268,4,1
121269,3,6.99
121269,4,0
121270,3,7.14
121270,4,0
121271,3,7.16
121271,4,0
121272,3,6.91
121272,4,0
121273,3,7.09
121273,4,0
121274,3,7.55
121274,4,0
121275,3,6.55
121275,4,0
121276,3,7.47
121276,4,0
121277,3,7.25
121277,4,0
121278,3,7.36
121278,4,0
121279,3,7.05
121279,4,0
121280,3,8.58
121280,4,1
121281,3,7.03
121281,4,0
121282,3,6.91
121282,4,0
121283,3,6.89
121283,4,0
121284,3,5.86
121284,4,0
121285,3,7.02
121285,4,0
121286,3,6.63
121286,4,0
121287,3,6.63
121287,4,0
121288,3,7.01
121288,4,0
121289,3,5.94
121289,4,0
121290,3,6.36
121290,4,0
121291,3,6.77
121291,4,0
121292,3,6.69
121292,4,0
121293,3,6.88
121293,4,0
121294,3,8.41
121294,4,0
121295,3,6.76
121295,4,0
121296,3,6.76
121296,4,0
121297,3,6.76
121297,4,0
121298,3,7.34
121298,4,0
121299,3,6.33
121299,4,0
121300,3,6.94
121300,4,0
121301,3,6.91
121301,4,0
121302,3,7.0
121302,4,0
121303,3,6.72
121303,4,0
121304,3,8.04
121304,4,0
121305,3,6.79
121305,4,0
121306,3,7.24
121306,4,0
121307,3,6.67
121307,4,0
121308,3,7.27
121308,4,0
121309,3,6.4
121309,4,0
121310,3,7.55
121310,4,0
121311,3,6.72
121311,4,0
121312,3,6.69
121312,4,0
121313,3,7.28
121313,4,0
121314,3,6.1
121314,4,0
121315,3,5.06
121315,4,0
121316,3,4.75
121316,4,1
121317,3,7.08
121317,4,0
121318,3,7.47
121318,4,0
121319,3,6.85
121319,4,0
121320,3,6.84
121320,4,0
121321,3,7.7
121321,4,0
121322,3,6.44
121322,4,0
121323,3,7.8
121323,4,1
121324,3,7.35
121324,4,0
121325,3,5.61
121325,4,0
121326,3,6.67
121326,4,0
121327,3,6.4
121327,4,0
121328,3,7.33
121328,4,0
121329,3,6.79
121329,4,0
121330,3,6.98
121330,4,0
121331,3,6.17
121331,4,0
121332,3,7.49
121332,4,0
121333,3,7.04
121333,4,0
121334,3,8.25
121334,4,0
121335,3,6.93
121335,4,0
121336,3,7.58
121336,4,0
121337,3,6.29
121337,4,0
121338,3,7.42
121338,4,0
121339,3,6.99
121339,4,0
121340,3,6.63
121340,4,1
121341,3,8.2
121341,4,0
121342,3,6.55
121342,4,0
121343,3,6.29
121343,4,0
121344,3,6.65
121344,4,0
121345,3,5.85
121345,4,0
121346,3,7.07
121346,4,0
121347,3,6.67
121347,4,0
121348,3,6.59
121348,4,0
121349,3,6.96
121349,4,0
121350,3,6.2
121350,4,0
121351,3,6.75
121351,4,0
121352,3,5.58
121352,4,0
121353,3,6.32
121353,4,0
121354,3,6.51
121354,4,0
121355,3,6.27
121355,4,0
121356,3,6.63
121356,4,0
121357,3,6.87
121357,4,0
121358,3,6.34
121358,4,0
121359,3,6.23
121359,4,0
121360,3,7.07
121360,4,0
121361,3,6.41
121361,4,0
121362,3,7.08
121362,4,0
121363,3,6.77
121363,4,0
121364,3,6.86
121364,4,0
121365,3,6.05
121365,4,0
121366,3,5.82
121366,4,1
121367,3,6.24
121367,4,0
121368,3,5.46
121368,4,1
121369,3,6.44
121369,4,0
121370,3,6.88
121370,4,0
121371,3,4.19
121371,4,1
121372,3,6.17
121372,4,0
121373,3,6.06
121373,4,0
121374,3,6.02
121374,4,0
121375,3,6.5
121375,4,1
121376,3,7.21
121376,4,0
121377,3,6.68
121377,4,0
121378,3,5.99
121378,4,0
121379,3,6.09
121379,4,0
121380,3,6.37
121380,4,0
121381,3,7.76
121381,4,0
121382,3,6.39
121382,4,0
121383,3,5.29
121383,4,0
121384,3,6.99
121384,4,0
121385,3,6.22
121385,4,0
121386,3,6.73
121386,4,0
121387,3,7.59
121387,4,0
121388,3,6.49
121388,4,0
121389,3,5.75
121389,4,0
121390,3,6.53
121390,4,0
121391,3,6.62
121391,4,0
121392,3,6.1
121392,4,0
121393,3,6.37
121393,4,0
121394,3,6.67
121394,4,0
121395,3,5.13
121395,4,0
121396,3,6.95
121396,4,0
121397,3,6.63
121397,4,0
121398,3,6.07
121398,4,1
121399,3,7.01
121399,4,0
121400,3,8.37
121400,4,0
121401,3,6.53
121401,4,0
121402,3,6.68
121402,4,0
121403,3,6.54
121403,4,0
121404,3,6.7
121404,4,1
121405,3,6.62
121405,4,0
121406,3,5.55
121406,4,1
121407,3,6.39
121407,4,0
121408,3,7.06
121408,4,0
121409,3,6.63
121409,4,0
121410,3,6.03
121410,4,0
121411,3,6.71
121411,4,0
121412,3,6.41
121412,4,0
121413,3,5.75
121413,4,0
121414,3,6.19
121414,4,1
121415,3,6.34
121415,4,0
121416,3,7.06
121416,4,0
121417,3,4.37
121417,4,0
121418,3,5.81
121418,4,1
121419,3,6.68
121419,4,0
121420,3,6.0
121420,4,0
121421,3,5.41
121421,4,0
121422,3,6.79
121422,4,0
121423,3,5.85
121423,4,0
121424,3,5.98
121424,4,1
121425,3,6.38
121425,4,0
121426,3,6.33
121426,4,0
121427,3,6.54
121427,4,0
121428,3,6.32
121428,4,0
121429,3,5.99
121429,4,0
121430,3,6.72
121430,4,0
121431,3,5.74
121431,4,0
121432,3,5.92
121432,4,0
121433,3,5.92
121433,4,0
121434,3,6.15
121434,4,1
121435,3,7.07
121435,4,0
121436,3,7.03
121436,4,0
121437,3,6.38
121437,4,0
121438,3,6.55
121438,4,1
121439,3,6.52
121439,4,0
121440,3,5.25
121440,4,0
121441,3,6.7
121441,4,0
121442,3,6.08
121442,4,0
121443,3,7.36
121443,4,0
121444,3,6.04
121444,4,0
121445,3,5.62
121445,4,1
121446,3,4.79
121446,4,0
121447,3,5.27
121447,4,1
121448,3,5.47
121448,4,1
121449,3,5.74
121449,4,0
121450,3,5.84
121450,4,0
121451,3,5.87
121451,4,0
121452,3,6.64
121452,4,0
121453,3,5.7
121453,4,0
121454,3,6.03
121454,4,0
121455,3,6.48
121455,4,0
121456,3,5.75
121456,4,0
121457,3,6.22
121457,4,0
121458,3,4.9
121458,4,1
121459,3,5.29
121459,4,1
121460,3,6.26
121460,4,0
121461,3,5.5
121461,4,0
121462,3,5.6
121462,4,0
121463,3,6.39
121463,4,0
121464,3,5.75
121464,4,1
121465,3,5.55
121465,4,1
121466,3,6.18
121466,4,0
121467,3,7.02
121467,4,0
121468,3,5.41
121468,4,1
121469,3,5.92
121469,4,0
121470,3,6.63
121470,4,0
121471,3,6.24
121471,4,0
121472,3,6.09
121472,4,0
121473,3,4.89
121473,4,0
121474,3,4.89
121474,4,0
121475,3,4.89
121475,4,0
121476,3,5.93
121476,4,0
121477,3,5.47
121477,4,0
121478,3,5.61
121478,4,0
121479,3,5.84
121479,4,0
121480,3,6.1
121480,4,0
121481,3,6.72
121481,4,0
121482,3,5.5
121482,4,1
121483,3,6.1
121483,4,0
121484,3,5.46
121484,4,1
121485,3,5.14
121485,4,0
121486,3,6.36
121486,4,0
121487,3,5.47
121487,4,1
121488,3,5.79
121488,4,0
121489,3,4.86
121489,4,1
121490,3,6.71
121490,4,0
121491,3,6.0
121491,4,0
121492,3,5.95
121492,4,1
121493,3,5.31
121493,4,0
121494,3,6.68
121494,4,0
121495,3,6.76
121495,4,0
121496,3,5.96
121496,4,0
121497,3,5.44
121497,4,1
121498,3,6.39
121498,4,0
121499,3,5.94
121499,4,1
121500,3,6.23
121500,4,0
121501,3,6.75
121501,4,0
121502,3,4.46
121502,4,1
121503,3,6.24
121503,4,1
121504,3,5.41
121504,4,0
121505,3,4.81
121505,4,1
121506,3,5.73
121506,4,0
121507,3,6.68
121507,4,0
121508,3,5.54
121508,4,0
121509,3,5.0
121509,4,1
121510,3,4.58
121510,4,1
121511,3,5.6
121511,4,0
121512,3,6.03
121512,4,1
121513,3,4.84
121513,4,0
121514,3,4.38
121514,4,1
121515,3,5.86
121515,4,1
121516,3,4.85
121516,4,1
121517,3,5.7
121517,4,0
121518,3,5.76
121518,4,0
121519,3,5.32
121519,4,0
121520,3,5.17
121520,4,0
121521,3,5.91
121521,4,0
121522,3,5.92
121522,4,0
121523,3,4.75
121523,4,1
121524,3,5.45
121524,4,1
121525,3,5.25
121525,4,0
121526,3,5.66
121526,4,0
121527,3,5.4
121527,4,1
121528,3,4.65
121528,4,1
121529,3,5.34
121529,4,0
121530,3,5.35
121530,4,1
121531,3,3.16
121531,4,1
121532,3,8.01
121532,4,0
121533,3,6.51
121533,4,0
121534,3,5.5
121534,4,1
121535,3,5.49
121535,4,0
121536,3,5.79
121536,4,1
121537,3,5.28
121537,4,0
121538,3,7.42
121538,4,0
121539,3,4.6
121539,4,1
121540,3,5.58
121540,4,0
121541,3,6.75
121541,4,0
121542,3,4.86
121542,4,0
121543,3,4.98
121543,4,1
121544,3,5.45
121544,4,1
121545,3,5.53
121545,4,1
121546,3,5.68
121546,4,1
121547,3,4.98
121547,4,1
121548,3,6.27
121548,4,1
121549,3,5.59
121549,4,1
121550,3,5.8
121550,4,0
121551,3,4.89
121551,4,0
121552,3,4.77
121552,4,1
121553,3,5.45
121553,4,1
121554,3,4.98
121554,4,0
121555,3,4.63
121555,4,1
121556,3,5.6
121556,4,0
121557,3,4.81
121557,4,0
121558,3,4.99
121558,4,1
121559,3,5.51
121559,4,0
121560,3,5.59
121560,4,1
121561,3,4.84
121561,4,1
121562,3,4.63
121562,4,1
121563,3,4.48
121563,4,1
121564,3,6.51
121564,4,0
121565,3,5.31
121565,4,0
121566,3,4.17
121566,4,1
121567,3,5.38
121567,4,0
121568,3,4.75
121568,4,1
121569,3,5.74
121569,4,0
121570,3,5.23
121570,4,0
121571,3,5.1
121571,4,1
121572,3,3.59
121572,4,1
121573,3,5.17
121573,4,0
121574,3,5.01
121574,4,0
121575,3,5.63
121575,4,1
121576,3,3.71
121576,4,1
121577,3,4.77
121577,4,0
121578,3,4.74
121578,4,1
121579,3,4.88
121579,4,0
121580,3,3.68
121580,4,0
121581,3,4.55
121581,4,1
121582,3,4.56
121582,4,1
121583,3,6.13
121583,4,0
121584,3,5.04
121584,4,0
121585,3,5.27
121585,4,0
121586,3,2.58
121586,4,1
121587,3,4.53
121587,4,1
121588,3,4.96
121588,4,0
121589,3,4.66
121589,4,1
121590,3,5.21
121590,4,1
121591,3,3.55
121591,4,1
121592,3,4.57
121592,4,1
121593,3,3.98
121593,4,1
121594,3,6.09
121594,4,0
121595,3,4.44
121595,4,1
121596,3,5.13
121596,4,0
121597,3,6.7
121597,4,0
121598,3,4.08
121598,4,1
121599,3,4.59
121599,4,1
121600,3,4.16
121600,4,1
121601,3,4.17
121601,4,1
121602,3,6.56
121602,4,0
121603,3,6.51
121603,4,0
121604,3,4.26
121604,4,1
121605,3,5.11
121605,4,1
121606,3,4.52
121606,4,1
121607,3,3.67
121607,4,1
121608,3,3.96
121608,4,0
121609,3,4.52
121609,4,1
121610,3,4.69
121610,4,0
121611,3,4.85
121611,4,1
121612,3,4.42
121612,4,1
121613,3,4.18
121613,4,1
121614,3,6.15
121614,4,0
121615,3,4.82
121615,4,1
121616,3,4.9
121616,4,1
121617,3,3.34
121617,4,1
121618,3,3.87
121618,4,1
121619,3,4.96
121619,4,1
121620,3,4.23
121620,4,1
121621,3,4.11
121621,4,1
121622,3,4.02
121622,4,1
121623,3,4.01
121623,4,1
121624,3,3.97
121624,4,1
121625,3,7.35
121625,4,0
121626,3,4.13
121626,4,1
121627,3,4.02
121627,4,1
121628,3,3.74
121628,4,1
121629,3,4.45
121629,4,1
121630,3,4.3
121630,4,1
121631,3,4.64
121631,4,1
